
person,johan
sp,sp,3377.152100
ACROSS,AH0,19.281368,R,1.479153,AO1,266.238403,S,752.858887
sp,sp,2713.824707,AH1,115.275497,M,11.140976,T,15.289688,AH0,38.661308,B,59.589821,AH0,39.787460,L,490.970703
sp,sp,1898.372559,R,119.145973,AH0,53.833923,D,64.574959,AY2,485.314117,M,136.749405
sp,sp,1454.185669
SPURIOUS,S,346.866608,P,20.304564,R,236.394577,IY0,36.993462,AH0,157.476959,S,808.367859
sp,sp,2590.372314
PICTURE,P,38.308495,IH1,46.881645,ER0,603.734009
sp,sp,1621.922241
INFAMOUS,IH1,4.319330,N,35.635178,F,183.830887,AH0,176.493515,M,58.727207,AH0,124.649605,S,611.943970
sp,sp,1408.293579
AWRY,ER0,205.546524,AY1,819.977905
sp,sp,1551.703247
BUSINESS,B,6.695598,IH1,221.154404,Z,182.003403,N,1.797685,AH0,118.321716,S,548.585205
sp,sp,3418.226074

person,elvis
sp,sp,4426.105469
ACROSS,AH0,65.702484,K,231.400040,R,243.312332,AO1,224.184769,S,546.950012
sp,sp,1059.016113
COMFORTABLE,K,171.081131,AH1,59.777096,M,98.029755,F,217.747147,ER0,50.914371,T,141.875732,AH0,234.127304,B,80.044159,AH0,70.550438,L,540.499634
sp,sp,1757.519775
PARADIGM,P,87.800415,EH1,16.309626,R,459.662537,AH0,49.306343,D,144.083572,AY2,531.591003,M,374.140961
sp,sp,1866.057983
SPURIOUS,S,305.987183,P,289.262939,Y,152.723160,UH1,371.230621,R,201.564285,IY0,326.277374,AH0,252.298737,S,356.448120
sp,sp,2765.056396
PICTURE,P,83.910065,IH1,33.927116,K,217.173477,CH,349.037476,ER0,492.761444
sp,sp,1452.541870
INFAMOUS,IH1,192.145798,N,215.638336,F,201.536850,AH0,49.400425,M,350.096863,AH0,357.549927,S,387.157898
sp,sp,1103.240234
AWRY,ER0,474.217255,AY1,294.940948
sp,sp,1743.529907
BUSINESS,B,106.650841,IH1,151.554382,Z,532.373779,N,393.521729,AH0,67.453354,S,196.760193
sp,sp,3629.392822

person,dulcie
sp,sp,4580.417969,K,117.650177,R,52.892170,AO1,25.995010,S,634.168030
sp,sp,1143.681763
COMFORTABLE,K,2.789407,AH1,11.359170,M,134.810028,F,18.494785,ER0,10.273694,AH0,57.613781,B,41.469620,AH0,129.366058,L,788.506714
sp,sp,1158.849731
PARADIGM,P,52.288197,EH1,137.763489,R,50.812405,AY2,287.557922,M,341.366364
sp,sp,1988.220459
SPURIOUS,S,465.536407,P,228.194534,UH1,153.970337,R,489.262115,IY0,216.037689,AH0,177.610306,S,627.544922
sp,sp,1231.785400
PICTURE,P,3.596645,IH1,174.487930,CH,27.954422,ER0,634.101074
sp,sp,2072.070068
INFAMOUS,IH1,45.774132,N,68.779358,F,83.679665,AH0,64.463943,M,5.577909,AH0,215.958466,S,394.154755
sp,sp,2728.611328,AY1,487.716125
sp,sp,1610.414551
BUSINESS,B,18.939747,IH1,208.582687,Z,132.063171,N,31.939674,AH0,282.325531,S,542.674011
sp,sp,1490.392822

person,pedro
sp,sp,3498.043701
ACROSS,AH0,49.696426,K,47.604080,R,112.023689,AO1,457.567139,S,807.726257
sp,sp,1221.966675
COMFORTABLE,K,77.636559,AH1,43.497002,M,35.182976,F,198.453415,ER0,145.957886,T,44.776073,AH0,76.079521,B,149.939163,AH0,60.391083,L,408.167603
sp,sp,1446.503296
PARADIGM,P,105.216637,EH1,45.759895,R,557.998291,AH0,191.906296,D,182.247910,AY2,181.310745,M,491.336395
sp,sp,1189.926392
SPURIOUS,S,413.170380,P,113.363739,Y,121.921944,UH1,175.086060,R,144.540482,IY0,527.066772,AH0,145.830032,S,610.352905
sp,sp,1335.210083
PICTURE,P,69.504326,IH1,127.078407,K,112.692390,CH,306.939819,ER0,483.766388
sp,sp,1086.300415
INFAMOUS,IH1,111.994926,N,306.983215,F,320.787231,AH0,489.834656,M,231.174957,AH0,355.845428,S,765.748840
sp,sp,2770.076416
AWRY,ER0,149.107529,AY1,869.279236
sp,sp,1923.796387
BUSINESS,B,223.388077,IH1,233.430634,Z,274.461853,N,345.499878,AH0,153.756882,S,678.896118
sp,sp,3995.399414

person,sean
sp,sp,2147.844727,K,55.574005,R,93.442375,AO1,296.669189,S,405.214752
sp,sp,1455.570435
COMFORTABLE,K,142.687805,AH1,212.998566,M,49.403645,ER0,1.662976,T,128.866043,AH0,52.137550,B,100.204185,AH0,38.113281,L,611.126099
sp,sp,2529.896240
PARADIGM,P,126.447411,EH1,366.309906,R,35.450718,AH0,66.193161,D,34.087276,AY2,371.499969,M,339.390015
sp,sp,2506.902344
SPURIOUS,S,501.703339,P,17.865612,Y,80.111916,UH1,61.402657,R,254.940079,IY0,11.834910,AH0,291.156494,S,712.599182
sp,sp,2720.877686
PICTURE,P,7.808081,IH1,115.167221,K,51.453117,CH,337.407227,ER0,351.792877
sp,sp,2673.053223
INFAMOUS,IH1,169.938522,N,217.309113,F,65.374702,AH0,207.407394,M,141.473618,AH0,189.179153,S,1090.604980
sp,sp,2684.869141
AWRY,ER0,254.623520,AY1,414.314728
sp,sp,3818.454590
BUSINESS,B,30.825794,IH1,316.318390,Z,74.369347,N,49.487724,AH0,144.767654,S,859.539795
sp,sp,3663.324951
